compound	reaction	type	A2O_abundance	AO_abundance
C04691	R03083	NA	0.8113207547169812	0.7448979591836735
C00013	R01799	NA	1.0754716981132075	0.9897959183673469
C00063	R01799	NA	1.0754716981132075	0.9897959183673469
C00269	R01799	NA	1.0754716981132075	0.9897959183673469
C00416	R01799	NA	1.0754716981132075	0.9897959183673469
C00001	R01797	NA	0.006289308176100629	0.0
C00055	R01797	NA	0.006289308176100629	0.0
C00269	R01797	NA	0.006289308176100629	0.0
C00416	R01797	NA	0.006289308176100629	0.0
C00001	R01795	NA	0.16352201257861634	0.15306122448979592
C00007	R01795	NA	0.16352201257861634	0.15306122448979592
C00079	R01795	NA	0.16352201257861634	0.15306122448979592
C00082	R01795	NA	0.16352201257861634	0.15306122448979592
C00268	R01795	NA	0.16352201257861634	0.15306122448979592
C00272	R01795	NA	0.16352201257861634	0.15306122448979592
C00005	R01794	NA	0.031446540880503145	0.01020408163265306
C00006	R01794	NA	0.031446540880503145	0.01020408163265306
C00080	R01794	NA	0.031446540880503145	0.01020408163265306
C00268	R01794	NA	0.031446540880503145	0.01020408163265306
C00272	R01794	NA	0.031446540880503145	0.01020408163265306
C00003	R01793	NA	0.031446540880503145	0.01020408163265306
C00004	R01793	NA	0.031446540880503145	0.01020408163265306
C00080	R01793	NA	0.031446540880503145	0.01020408163265306
C00268	R01793	NA	0.031446540880503145	0.01020408163265306
C00272	R01793	NA	0.031446540880503145	0.01020408163265306
C00001	R01791	NA	0.3270440251572327	0.35714285714285715
C00031	R01791	NA	0.3270440251572327	0.35714285714285715
C00721	R01791	NA	0.3270440251572327	0.35714285714285715
